name,kosen,departement,title,main_teaching_subjects
斉藤 徹,福井高専,電子情報工学科,教授 博士（工学）,"情報構造論,創造工学演習,データベース,オブジェクト指向プログラミング,情報・制御基礎,創造デザイン演習,技術者総合ゼミナール"
青山 義弘,福井高専,電子情報工学科,教授 博士（工学）,"専門基礎III,論理回路,計算機概論I,プロジェクト演習,計算機アーキテクチャ,計算機システム,技術者総合ゼミナール"
波多 浩昭,福井高専,電子情報工学科,教授 博士（工学）,"情報工学基礎,電気回路,情報ネットワーク基礎,情報ネットワーク,システム工学,情報理論II"
高久 有一,福井高専,電子情報工学科,准教授 博士（理学）,"電磁気学II,ディジタル信号処理,計算機シミュレーション,電磁場エネルギー基礎,ものづくり情報工学,システムプログラミング"
西 仁司,福井高専,電子情報工学科,准教授 博士（工学）,"電子回路I,数値計算,計算機概論I,計算機概論II,センサ材料工学,光学基礎,技術者総合ゼミナール"
小越 咲子,福井高専,電子情報工学科,准教授 博士（工学）,"専門基礎I,専門基礎II,オペレーティングシステム,認知科学,画像情報処理,ものづくり情報工学"
村田 知也,福井高専,電子情報工学科,講師 博士（工学）,"専門基礎I,情報基礎演習,プログラミング基礎,プログラミング応用,ソフトウェア工学,創造工学演習"
川上 由紀,福井高専,電子情報工学科,講師 博士（工学）,"専門基礎II,電気磁気学I,通信システム,生産システム工学演習I,生産システム工学演習II,電子工学基礎"
小松 貴大,福井高専,電子情報工学科,助教 博士（工学）,"専門基礎III,電子回路II,創造工学演習,プロジェクト演習,人工知能"
下條 雅史,福井高専,電子情報工学科,嘱託教授 博士（理学）,"信号解析基礎,情報理論I,情報数学,生産システム工学演習I,生産システム工学演習II"