事業所名,校舎(㎡),寄宿舎(㎡)
函館,25642,4668
苫小牧,23098,7621
釧路,24657,6723
旭川,22469,5962
八戸,24270,10157
一関,23314,6947
仙台(広瀬),20992,5827
仙台(名取),25544,4753
秋田,23771,5470
鶴岡,22609,8832
福島,25830,5146
茨城,25132,4415
小山,25658,6030
群馬,27248,3894
木更津,25563,7332
東京,25012,4523
長岡,27888,7205
富山(本郷),23258,4493
富山(射水),24458,7029
石川,25863,5977
福井,25492,5387
長野,24430,8777
岐阜,27449,5996
沼津,25422,10281
豊田,25753,11511
鳥羽,21705,4925
鈴鹿,28050,9725
舞鶴,23216,11832
明石,22550,4211
奈良,25106,3341
和歌山,20454,11173
米子,25375,6206
松江,24033,8233
津山,22545,7192
広島,19360,9769
呉,22522,6799
徳山,20040,2968
宇部,25143,7594
大島,20200,8060
阿南,23376,8893
香川(高松),22591,3556
香川(詫間),21238,7730
新居浜,25783,9386
弓削,20715,9590
高知,22228,9983
久留米,26586,4331
有明,25659,5460
北九州,24815,4387
佐世保,22436,8425
熊本(八代),21469,8537
熊本(熊本),19890,4174
大分,22480,6140
都城,22882,7229
鹿児島,23717,11848
沖縄,24328,10198
機構本部,1320,0