id,name_ja,name_en,img_emblem,origin_emblem_text,origin_emblem_url
hakodate,函館高専,"NIT, Hakodate KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/0.jpg,本校の校章は、函館市の木である イチイ(別名オンコ) の枝の濃緑の 葉と赤く熟した実に 「豊かな自然」 と「情熱」を、固く結ばれた青いリ ボンに「青雲の志」を象徴させ、そ の中で、未来にはばたく有為人材を 育成する高等教育機関として、永遠 に光り輝く「函館高専」の姿をデザ インしたものです。,https://www.hakodate-ct.ac.jp/wp-content/uploads/2011/11/01%E8%A1%A8%E7%B4%99%E3%83%BB%E7%9B%AE%E6%AC%A1%E3%83%BB%E5%AD%A6%E5%B9%B4%E6%9A%A6-1.pdf
tomakomai,苫小牧高専,"NIT, Tomakomai KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/1.jpg,本校の校章は，その所在地の苫小牧の地名にちなみ，外形に10 個のかたかなの「マ」を組み合せて「トマ」とし，北極星を形どったもので，本校に学ぶ学生が北極星のように清く輝かしく成長することを願うものです。,https://www.tomakomai-ct.ac.jp/outline/koka
kushiro,釧路高専,"NIT, Kushiro KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/2.jpg,"釧路市章に「高専J の2 字を重ねて、本校の所在を明らかにした。 釧路市章は、星の形の中に〇を描いたもので、星の形は北国（北極星）を象徴しており、また、釧路の「釧」（セン）の字は、1 字で「クシ口」と読み、 万葉集などにも出てくる字で、""うで輪""を意味するとされており、装身具としての""うで輪""を〇で表したものとされている。 この〇は「和」を表現するものである。 「高専J の2 字の金色は、希望と繁栄を表し、星形のイブシ銀色は北の海の色に、また、鋭い角は道東の厳しい気象にそれぞれ相通ずるものであ る。 〇（和）は、「高専」の2 字の下にあって見えないが、精神的結合を期待しているものである。",https://www.kushiro-ct.ac.jp/2011/05/20/3257/
asahikawa,旭川高専,"NIT, Asahikawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/3.jpg,"左右の旭光は本校学生の将来の輝かしい発展を意味し，高専の左右の3本の弧線は本校の教育方針である明朗で誠実，しかも技術革新に対応する新しいタイプの技術者を養成する3つの意味を有しています。旭光は旭川の旭を，3本の線は旭川の川を象徴しています。この図案は，本校初代校長原田準平氏の手によるものです。",https://www.asahikawa-nct.ac.jp/gakkou/index1.html
hachinohe,八戸高専,"NIT, Hachinohe KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/4.jpg,リボン様の部分は伸びゆく白亜の校舎の建つ八戸、そして新産都市に指定された八戸を象徴する「八」、そしてローマ字の「Ｈ」を表わし、あわせて無限に伸びようとする我が八戸高専の未来を示している。,https://www.hachinohe-ct.ac.jp/schoolguide/
ichinoseki,一関高専,"NIT, Ichinoseki KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/5.jpg,"平安時代において奥羽文化の中心であった平泉藤原氏の勢力は、一関にも及んでいたと考えられます。この平泉文化を代表する中尊寺の金色堂には、国宝として 荘厳な装飾である華鬘（けまん）があります。それは、人頭、鳥身の想像上の鳥を象っている迦陵頻伽（かりょうびんが）を透彫したものです。本校章は、この地域文化を象徴する迦陵頻伽をバックに、豊かな教養と高度の専門技術を身につけた実践的な工業技術者の育成を建学の理念とする「一関高専」の姿をデザインしたものです。",https://www.ichinoseki.ac.jp/about/badge.html
sendai,仙台高専,"NIT, Sendai KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/6.jpg,「心のある技術者，そして，心に訴えるモノづくりができる人材を育ててほしいという思いを込めて「心」を図案化」,https://www.sendai-nct.ac.jp/college/song/
akita,秋田高専,"NIT, Akita KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/7.jpg,"左右に配した“A”は本校の所在地“秋田”のイニシャルであり、最も優れている、すべてに先に立つことを表す文字であるところから“英知と率先の気風”を表す。“A(アルファ)”は星座の中でも最も輝く首星に名付けられるところから建学の気風としていた“日本一の高専”を目指すことを表し、また“未知”の意をもつ文字であるところから“A”と“A(アルファ)”を相対して配置することによって“英知と率先の気風をもって未知に対する”エンジニア精神を象徴した。",https://www.akita-nct.ac.jp/school/koushou/
tsuruoka,鶴岡高専,"NIT, Tsuruoka KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/8.jpg,山形県の「山」の文字を地として，「高専」の両側に出羽の国の「羽」を配し，鶴岡の「鶴」の華麗にして雄々しい羽ばたきを象徴しています。,https://www.tsuruoka-nct.ac.jp/annai/kouka_kousyou/
fukushima,福島高専,"NIT, Fukushima KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/9.jpg,要確認,要確認
ibaraki,茨城高専,"NIT, Ibaraki KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/10.jpg,「春告草」とも「好文木」とも呼ばれる梅花は、古く万葉の昔から、わが国の人々に親しまれています。ひとり極寒に堪えながら、春に先がけて咲くこの花のりりしさ、ふくいくたる香りと清楚な姿に、人々の心を強くとらえるものがあったからにちがいありません。本校では、このような梅のりりしさ、ふくいくたる香り、清楚な姿にあった若人を育成すべく、その象徴として梅花を校章に制定しました。,https://www.ibaraki-ct.ac.jp/about/history/index.html
oyama,小山高専,"NIT, Oyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/11.jpg,1.この校章は大きく全体的な飛躍を象徴しています。2.小山市の小山の文字を図案化した市章をあしらっています。3.三角形が両上部へ突き出ている形は，大きな飛躍と学徒の巣立つ羽ばたきを象徴しています。4.三角形は，工業界の基礎的な道具である三角定規を斬新な形で表現（工の文字を図案化）したものです。,https://www.oyama-ct.ac.jp/about/outline/symbol/
gunma,群馬高専,"NIT, Gunma KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/12.jpg,下田功初代校長（平成元年５月１１日没）は、昭和３７年春、学校を発足させるにあたり、学校を囲む赤城・榛名・妙義の上毛三山をアレンジしたデザインを、群馬県にある国立の高等教育機関のシンボルにしたいと考えました。そこで、すでに、この三山をとり入れた学章を有する群馬大学の快諾を得て、三山の意匠でまわりを飾り、その中に「高専」という文字を入れ本校の校章としました。,https://www.gunma-ct.ac.jp/school_info/song/
kisarazu,木更津高専,"NIT, Kisarazu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/13.jpg,本校の校章は、所在地千葉県の県花である十字花植物の菜の花をかたちどり、その４枚の花弁が互いに力強く組み合っている形は、 本校学生のゆるぎない協力と団結の姿を表し、又上下左右にのびる花弁は、それぞれに輝かしい未来に向かってたくましく向上、発展する姿を示したものです。,https://www.kisarazu.ac.jp/gaiyo/schoolsong/
tokyo,東京高専,"NIT, Tokyo KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/14.jpg,要確認,要確認
nagano,長岡高専,"NIT, Nagano KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/15.jpg,本校の校章は、前身の国立長岡工業短期大学の校章の図案を受け継いでいます（短大時代は、「高専」の部分に「工大」の文字がありました）。短大の校章が決定されたのは、昭和36年10月４日のことで、作者は電気工学科学生の寺島正輝でした。図案は当時存在した３学科（機械工学科・電気工学科・工業化学科）を象徴的に表現したもので、外側の歯車が機械工学科を、電動機のポールが電気工学科を、原子構造を意味する点のある線輪が工業化学科を表しています。,https://www.nagaoka-ct.ac.jp/college-info/emblem/
toyama,富山高専,"NIT, Toyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/19.jpg,上記校章は、学生・学校・地域の3 者が互いに手を取り合っている様子を表現し、協力・交流・持続的社会といったメッセージがこめられています。組み合わさって表現される形は、アルファベッ トのTをイメージ。これは、Think（考える）、Truth（真実）、Thank（感謝）の3つの英単語の頭文字であると同時に、これらを包み込む母体であるToyama（富山）のTをあらわしています。,https://www.nc-toyama.ac.jp/about/aim/
ishikawa,石川高専,"NIT, Ishikawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/20.jpg,「石川高専」であることを明確に打出したもの，というアピール性に眼目をおいて「高専」の文字を「石」と「川」で両側から円形に囲み，創造と協調の精神が生きたわかりやすいものにしました。 （デザイン：当時金沢美大教授であった 故 板坂辰治先生）,https://www.ishikawa-nct.ac.jp/outline/mark.html
fukui,福井高専,"NIT, Fukui KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/21.jpg,校章は、福井県の県花「水仙」と北陸表わす雪の結晶を図案化したものである。色は本校のカレッジカラーである。英知と理想と純粋を表わし、エンジニアたらんとする学生の青春を象徴する。,https://www.fukui-nct.ac.jp/information/school-badge/
nagano,長野高専,"NIT, Nagano KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/22.jpg,本校の校章は、高専の二字を、シナノ木の若葉と若芽で囲み、上部に山岳をかたどった山形を入れたものです。シナノ木は長野県の山野に多く自生し、建築・器具の材料として用いられたほか、その皮から繊維をとって布などを作ったり、また花や果実を薬用にしたり、用途の広い木です。信濃の国名はこの木に由来するという説もあります。技術と創造を重んじ、材料を活用して有用なのものを作りだす高専の使命にふさわしい木です。山は長野県の象徴であり、本校をとりまく美しい自然環境を表しています。,https://www.nagano-nct.ac.jp/guide/symbol/
gifu,岐阜高専,"NIT, Gifu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/23.jpg,校章はかつての旧帝大が共通に用いていた徽章のもつ素朴、堅実、伝統を象徴するイメージをとり、大学の徽章の輪郭の中に、高専の文字を配したデザインとし、模様や図案を全く加えないもので、やがて卒業生が大学を卒業した者に伍して、人物、識見とも勝るとも劣らぬ技術者として活躍するであろうことを念願してデザインされたものである。,https://www.gifu-nct.ac.jp/about/symbol/
numazu,沼津高専,"NIT, Numazu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/24.jpg,～学校の所在地である沼津市の市章に、「高専」の文字を重ね合わせたものが本校の校章です～,https://www.numazu-ct.ac.jp/college/emblem/
toyota,豊田高専,"NIT, Toyota KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/25.jpg,要確認,要確認
toba,鳥羽商船高専,"NIT, Toba shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/26.jpg,要確認,要確認
suzuka,鈴鹿高専,"NIT, Suzuka KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/27.jpg,要確認,要確認
maizuru,舞鶴高専,"NIT, Maizuru KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/28.jpg,金色の円弧は日本海に面する良港を有し、港湾工業都市として進展しつつある舞鶴を象徴しています。円は円満な相で完全を想わせ、港口の開きは積極性と向上発展を示しています。,https://www.maizuru-ct.ac.jp/introduction/emblem/
akashi,明石高専,"NIT, Akashi KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/29.jpg,本校の所在地、明石の「明」で翼をかたどり明石工業高等専門学校の発展と学生の未来へ向かって大きく飛躍する姿を象徴したものである。,https://www.akashi.ac.jp/guide/emblem.html
nara,奈良高専,"NIT, Nara KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/30.jpg,「いにしへの奈良の都の八重桜今日九重ににほひぬるかな」という「詞花和歌集」で伊勢大輔の歌で知られる奈良の八重桜を図案化したもので、古くから文化の栄えた大和の地に八重に発展する本校の理想を象徴している。,https://www.nara-k.ac.jp/guide/03-11-nara-kosyo-H211121.pdf
wakayama,和歌山高専,"NIT, Wakayama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/31.jpg,本校の校章は、和歌山の“Ｗ”と“山”の２字を併せて型取った台の上に、“高専”の２字を乗せ、それを左右から和歌山が名産地である蜜柑の木の若枝で抱きかかえたデザインです。また、その背景には本校のスクールカラーである紺碧色を配色しています。,https://www.wakayama-nct.ac.jp/gakkou/logocolor_w.html
yonago,米子高専,"NIT, Yonago KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/32.jpg,本校の所在地である「米子」の地名考の一つとして、稲のよく実る「米生の里」から「米生郷」そして、「米子」となったともいわれています。校章は、この米子の「米」を図案化し、「高専」の文字を配したものです。,https://www.yonago-k.ac.jp/a058/a059/
matsue,松江高専,"NIT, Matsue KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/33.jpg,本校の所在地島根県の「県の木」は「くろまつ」である。その若芽が中心か ら三方へ伸びて「人づくり」の人の字を形成している。 丸ゴチック体の「高専 」の文字はなごやかな雰囲気をかもし出すことをねらいとし、簡素で気高い校 風をあらわしている,https://www.matsue-ct.jp/information/outline/schoolsong-logo/
tsuyama,津山高専,"NIT, Tsuyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/34.jpg,本校の所在地である津山の町が生まれたのは、慶長８年、今から約４００年前で、美作一国大名として森忠政が信濃の国、川中島から移って今の鶴山に築城したことに始まる。藩主の紋所である鶴は、ながく城下町津山の優雅と品格とを象徴するようになった。校章は、工業の「工」の字による折鶴の双翼につつみ抱かれる高専の姿を表して、優雅と品格をそなえた誇り高いものとなっている。,https://www.tsuyama-ct.ac.jp/gaiyouVer4/kousyou.html
hiroshima,広島商船高専,"NIT, Hiroshima shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/0.jpg,本校の校章は明治31年5月、創立当時に制定された赤いコンパスマークを起源にしています。コンパスマークは羅針盤の八方位を表すもので、商船学校の生徒が将来この羅針盤を使って全世界の海洋で活躍することを願って決められました。コンパスマークの赤色は、当時の生徒のモットーであった「赤誠」「威力」「元気」を象徴しています。以前のコンパスマークの中心は「文」でしたが、現在は広島を意味する「H」となっています。,https://www.hiroshima-cmt.ac.jp/school/badge.html
kure,呉高専,"NIT, Kure KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/1.jpg,本校の校章は、呉市にちなんで呉市の市章の中に「高専」の文字を入れたものです。呉市の市章は、呉市の周辺が九つの峰で囲まれていることから、これ を呉（九嶺）としてあやかり、カタカナの「レ」で九つの星形をかたどったものですが、本校の校章はそれを楕円形とし、更に波の形が付加されています。レの字が山の強さを、波が瀬戸内海の柔らかい水を表徴しています。鉄のように鋭い剛なものを骨とし、方円に従う水のような柔らかさを肉として包むのが我が校風です。,https://www.kure-nct.ac.jp/profile/logo.html
tokuyama,徳山高専,"NIT, Tokuyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/2.jpg,要確認,要確認
ube,宇部高専,"NIT, Ube KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/3.jpg,本校は、常盤湖西岸にあります。常盤湖の白鳥は周囲の松の緑を背景に優雅な姿をうかべ、宇部市の象徴として私たちの眼を楽しませてくれました。わが校章は、その白鳥二枚の羽を形どり、中央には勉学を意味するペン先をえがき、産業の興隆と文化の発展に雄々しく羽ばたく姿を表しています。,https://www.ube-k.ac.jp/about/symbols/
oshima,大島商船高専,"NIT, Oshima shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/4.jpg,要確認,要確認
anan,阿南高専,"NIT, Anan KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/5.jpg,要確認,要確認
kagawa,香川高専,"NIT, Kagawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/6.jpg,要確認,要確認
niihama,新居浜高専,"NIT, Niihama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/7.jpg,要確認,要確認
yuge,弓削商船高専,"NIT, Yuge shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/8.jpg,要確認,要確認
kochi,高知高専,"NIT, Kochi KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/9.jpg,校章の由来について野手初代校長は「校章に土佐寒蘭を選ぶの辞」なる一文を物されているが，その中には，「土佐寒蘭は一本の茎に数個の気品ある花が秩序よくついており，香が高い上に全体として極めて麗しい姿をしている，我々の目指す『風格の高い人間・技術者』と，技術者として必要な和の精神をよく象徴している。」という主旨のことを述べられている。こうして土佐寒蘭の花は高知高専のシンボルとなり，校歌にうたい込まれ，校旗にその秀麗な姿が縫い箔されたのである。,http://www.jm.kochi-ct.ac.jp/college/logokoka.html
kurume,久留米高専,"NIT, Kurume KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/10.jpg,要確認,要確認
ariake,有明高専,"NIT, Ariake KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/11.jpg,「有明海」の古来神秘の火と呼ばれる不知火（しらぬひ）は，旧暦大晦日の夜，当地の四山（よつやま）の丘から望むことができます。校章は，この燃える不知火の炎で「有明」の文字をデザインして，「高専」の文字の両側に配し，師弟の燃える情熱と学校の発展を表わしたものです。,https://www.ariake-nct.ac.jp/aboutanct/emblem-song
kitakyushu,北九州高専,"NIT, Kitakyushu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/12.jpg,要確認,https://www.kct.ac.jp/about/symbols
sasebo,佐世保高専,"NIT, Sasebo KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/13.jpg,佐世保高専開校当初（昭和３７年５月）、徽章として制定されたものです。「高専」の「専」の字の下の「寸」を「サセボ」の「サ」にみたててデザインしています。,https://www.sasebo.ac.jp/about-us/symbol/
kumamoto,熊本高専,"NIT, Kumamoto KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/14.jpg,熊本高専の頭文字「K」をあしらったデザインです。 視認性もよく、新高専のキャッチフレーズ「 革新する技術、創造する未来 〜夢へ翔る熊本高専〜 」にも通じる躍動感に溢れていることから選ばれました。,https://kumamoto-nct.ac.jp/general/school/symbol-2.html
oita,大分高専,"NIT, Oita KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/15.jpg,校章の由来…大分市を表す大の字を図案化したものを円形の輪郭とした中に、高専の文字を出したものです。,https://www.oita-ct.ac.jp/kouka/
miyakonojo,都城高専,"NIT, Miyakonojo KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/20.jpg,高専の文字の背景はミヤマキリシマ（ツツジ科）の五弁の花冠を形どったものです。ミヤマキリシマは、霧島山をはじめ阿蘇・久住等九州の高山に自生する常緑低木です。厳冬の風雪に耐えた可憐なこのツツジが、山頂山腹にかけて花開く5～6月頃の山の景観は筆舌につくし難いものです。校章の制定に当たっては、初代校長・吉村 恂氏の発案により、霧島山麓の本校に学ぶ学生が、このゆかりの花のようにたくましく勉学に励み、清く、美しい人生の花を開くことを願い校章としたものです。,https://www.miyakonojo-nct.ac.jp/guide/logo/
kagoshima,鹿児島高専,"NIT, Kagoshima KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/21.jpg,要確認,要確認
okinawa,沖縄高専,"NIT, Okinawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/22.jpg,沖縄高専の位置する「やんばる（沖縄本島北部）の深き緑」と 「青き豊かな海」を表現し、周囲を取り囲む円で「沖縄の青い空」を表している。,https://www.okinawa-ct.ac.jp/about/overview/emblem/
toritsu,東京都立産業技術高専,Tokyo Metropolitan KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/23.jpg,工業の代名詞でもある「歯車」をモチーフにし、産業技術高等専門学校が二つのキャンパスから成り立ち、二つのかみ合わせで更に大きな力を発揮することを表している。また、2個の歯車は、ローマ字のSを表現しており、「産業技術高等専門学校」の頭文字となっている。,https://www.metro-cit.ac.jp/information/song.html
osaka,大阪公立大学高専,Osaka Metropolitan University KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/24.jpg,大阪府立を意味することを明らかにするため､外形を大の字にした。その中心におのおの直線を配し「力強い筋金」が入れてあることに注目すべきである。半円形のくぼみをもつ三角形はスパナ、カム、切欠堰などを図案化したものであり、それが5個より成り立っているので、5ヵ年一貫教育の工科系の学校であることを表わす。,https://www.ct.omu.ac.jp/about/outline/school-emblem/
kobe,神戸市立高専,Kobe City KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/25.jpg,要確認,要確認
salesian,サレジオ高専,Salesian Polytechnic (KOSEN),https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/26.jpg,要確認,https://www.salesio-sp.ac.jp/main/about_salesio/logomark.html
kanazawa,国際高専,International KOSEN Kanazawa,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/27.jpg,この校章は、本学園の三大建学旗標人間形成技術革新産学協同三位一体の学園共同体学生理事教職員科学技術を学ぶ者への指針を示す、3つの“T”TruthTheoryTechnology以上の3つの要素を、学園のシンボルであるゴールデンイーグル（いぬ鷲）の翼をモチーフにデザインしたものです。白山に棲息する天然記念物ゴールデンイーグルは、光に向かって進むとき頭部が金色に輝く特徴を持っており、鳥類の中では最も高空を飛翔する勇敢な鳥と言われます。そのゴールデンイーグルの力強いイメージの中に、勇気と信念を象徴しています。,https://www.ict-kanazawa.ac.jp/about/emblem/
kindai,近畿大学高専,Kindai University KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/28.jpg,学園章は、梅の花弁を、象徴したものです。五つの花弁は、大学の大、花芯も大。人そのものでもある。これは、本大学の現および未来に向かっての存在と位置をかたどるものです。一部がやや離れているのは未来志向に基づく内面の未完、さらに充溢、完熟をめざし向かう形姿。一本のつよい線に貫かれる。,https://www.ktc.ac.jp/guide/kutc/
kamiyama,神山まるごと高専,KAMIYAMA Marugoto KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/29.jpg,校舎から見える山の形と、町を照らす太陽の形をモチーフにしたロゴ。まるごとの形といえば円なのですが、あえて“未完成である半円”のデザインにしています。ここにはこの学校での学びや神山町でのくらしによって、まずは自分自身を形づくり、他者とつながることで見事な円を完成させることのできる人を育てたい、という願いが込められています。本校は、人間の未来は学生が描いていくものだと、信じています。学校が用意するのは学生が躍動するための白いキャンバスであり、自分で手に入れた色で、自由に未来を描いてほしいという想いを込め、どんな色にも染められる“白”をブランドカラーとしています,https://x.com/kamiyama_kosen/status/1726409759417622528?s=20
kmitl,キングモンクット工科大学ラカバン校付属高専,KOSEN-KMITL,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/30.jpg,要確認,要確認
kmutt,キングモンクット工科大学トンブリ校付属高専,KOSEN KMUTT,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/31.jpg,要確認,要確認
mongol,モンゴル高専,Mongol KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/32.jpg,要確認,要確認
must,モンゴル科学技術大学附属高専,MUST-KOSEN KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/33.jpg,要確認,要確認
newmongol,新モンゴル高専,New Mongol KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/34.jpg,要確認,要確認
